x0,a,b,f_calls,x,y,f_calls,x,y,f_calls
-0.995306,-0.995306,-0.245306,3,-0.245443,1.20484e-06,37,-0.620306,7.69559e-06,3
-0.978666,-0.978666,-0.228666,3,-0.228803,1.04701e-06,37,-0.603666,7.28825e-06,3
-0.971722,-0.971722,-0.221722,3,-0.221859,9.84427e-07,37,-0.596722,7.12154e-06,3
-0.966388,-0.966388,-0.216388,3,-0.216525,9.37663e-07,37,-0.591388,6.9948e-06,3
-0.943109,-0.943109,-0.193109,3,-0.193246,7.46878e-07,37,-0.568109,6.45495e-06,3
-0.923714,-0.923714,-0.173714,3,-0.173851,6.04481e-07,37,-0.548714,6.02173e-06,3
-0.918658,-0.918658,-0.168658,3,-0.168795,5.69836e-07,37,-0.543658,5.91128e-06,3
-0.888008,-0.888008,-0.138008,3,-0.138145,3.81682e-07,37,-0.513008,5.26355e-06,3
-0.866582,-0.866582,-0.116582,3,-0.116719,2.72469e-07,37,-0.491582,4.83307e-06,3
-0.824215,-0.824215,-0.0742151,3,-0.0743522,1.10565e-07,37,-0.449215,4.03588e-06,3
-0.820657,-0.820657,-0.0706572,3,-0.0707943,1.00237e-07,37,-0.445657,3.97221e-06,3
-0.81878,-0.81878,-0.06878,3,-0.068917,9.49911e-08,37,-0.44378,3.93881e-06,3
-0.810931,-0.810931,-0.0609314,3,-0.0610685,7.45871e-08,37,-0.435931,3.80072e-06,3
-0.802898,-0.802898,-0.0528981,3,-0.0530351,5.62545e-08,37,-0.427898,3.66194e-06,3
-0.799444,-0.799444,-0.0494445,3,-0.0495815,4.91665e-08,37,-0.424444,3.60306e-06,3
-0.784742,-0.784742,-0.0347423,3,-0.0348793,2.43314e-08,37,-0.409742,3.35777e-06,3
-0.7527,-0.7527,-0.0027,3,-0.00283704,1.60976e-10,37,-0.3777,2.85315e-06,3
-0.743187,-0.743187,0.0068133,3,3.00007e-05,1.79937e-14,37,-0.368187,2.71123e-06,3
-0.729727,-0.729727,0.0202726,3,-7.73386e-05,1.19618e-13,37,-0.354727,2.51663e-06,3
-0.726425,-0.726425,0.0235751,3,-6.36483e-05,8.10149e-14,37,-0.351425,2.46999e-06,3
-0.667758,-0.667758,0.0822418,3,-4.8504e-05,4.70455e-14,37,-0.292758,1.71415e-06,3
-0.666329,-0.666329,0.0836711,3,-5.81176e-05,6.7546e-14,37,-0.291329,1.69745e-06,3
-0.597253,-0.597253,0.152747,3,-4.89913e-05,4.79958e-14,37,-0.222253,9.87932e-07,3
-0.594125,-0.594125,0.155875,3,-4.30254e-06,3.63081e-16,37,-0.219125,9.60319e-07,3
-0.566515,-0.566515,0.183485,3,-6.25807e-06,7.76112e-16,37,-0.191515,7.33557e-07,3
-0.563977,-0.563977,0.186023,3,-7.20058e-05,1.0369e-13,37,-0.188977,7.14243e-07,3
-0.55888,-0.55888,0.19112,3,-4.60269e-05,4.23623e-14,37,-0.18388,6.76239e-07,3
-0.532336,-0.532336,0.217664,3,-1.87466e-05,7.02153e-15,37,-0.157336,4.95095e-07,3
-0.504075,-0.504075,0.245925,3,1.36772e-05,3.73418e-15,37,-0.129075,3.33205e-07,3
-0.497967,-0.497967,0.252033,3,2.35332e-05,1.10691e-14,37,-0.122967,3.02416e-07,3
-0.494536,-0.494536,0.255464,3,2.83162e-05,1.6029e-14,37,-0.119536,2.85777e-07,3
-0.487328,-0.487328,0.262672,3,-2.70799e-05,1.46592e-14,37,-0.112328,2.52353e-07,3
-0.447627,-0.447627,0.302373,3,-6.5812e-05,8.66171e-14,37,-0.0726266,1.05492e-07,3
-0.436746,-0.436746,0.313254,3,-7.93674e-05,1.25976e-13,37,-0.0617457,7.62507e-08,3
-0.434726,-0.434726,0.315274,3,-4.61751e-05,4.26357e-14,37,-0.0597255,7.13427e-08,3
-0.37893,-0.37893,0.37107,3,-2.42734e-05,1.17768e-14,37,-0.00392981,3.08868e-10,3
-0.348424,-1.09842,0.401576,3,-0.000123257,3.03837e-13,39,-0.348424,2.42798e-06,3
-0.302034,-1.05203,0.447966,3,-6.07537e-05,7.38131e-14,39,-0.302034,1.82449e-06,3
-0.287875,-1.03787,0.462125,3,-4.49945e-05,4.04829e-14,39,-0.287875,1.65744e-06,3
-0.257562,-1.00756,0.492438,3,3.18828e-05,2.03232e-14,39,-0.257562,1.32677e-06,3
-0.25675,-1.00675,0.49325,3,-2.4968e-06,1.17523e-16,39,-0.25675,1.31841e-06,3
-0.248574,-0.998574,0.501426,3,-4.23744e-05,3.59046e-14,39,-0.248574,1.23578e-06,3
-0.224251,-0.974251,0.525749,3,-0.000110199,2.42868e-13,39,-0.224251,1.00577e-06,3
-0.21451,-0.96451,0.53549,3,-0.000109751,2.40899e-13,39,-0.21451,9.20294e-07,3
-0.184685,-0.934685,0.565315,3,-1.20237e-05,2.88423e-15,39,-0.184685,6.82174e-07,3
-0.17123,-0.92123,0.57877,3,-0.000107464,2.30962e-13,39,-0.17123,5.86394e-07,3
-0.120542,-0.870542,0.629458,3,1.89752e-05,7.19399e-15,39,-0.120542,2.90606e-07,3
-0.0880289,-0.838029,0.661971,3,-7.51117e-05,1.12828e-13,39,-0.0880289,1.54982e-07,3
-0.0822219,-0.832222,0.667778,3,-2.72268e-05,1.48188e-14,39,-0.0822219,1.35209e-07,3
-0.0414919,-0.791492,0.708508,3,-3.46216e-05,2.3966e-14,39,-0.0414919,3.44316e-08,3
-0.0343159,-0.784316,0.715684,3,-5.75628e-05,6.62625e-14,39,-0.0343159,2.35517e-08,3
-0.0259298,-0.77593,0.72407,3,-5.6017e-05,6.27509e-14,39,-0.0259298,1.34471e-08,3
0.0453901,-0.70461,0.79539,3,-4.77199e-05,4.55365e-14,39,0.0453901,4.12053e-08,3
0.0606677,-0.689332,0.810668,3,-9.95943e-05,1.98373e-13,39,0.0606677,7.36115e-08,3
0.0911941,-0.658806,0.841194,3,2.19835e-05,9.65835e-15,39,0.0911941,1.66327e-07,3
0.0957805,-0.654219,0.845781,3,-4.97643e-05,4.95225e-14,39,0.0957805,1.83478e-07,3
0.0998631,-0.650137,0.849863,3,-0.00011717,2.74567e-13,39,0.0998631,1.99453e-07,3
0.1003,-0.6497,0.8503,3,-1.92314e-05,7.3898e-15,39,0.1003,2.01201e-07,3
0.10047,-0.64953,0.85047,3,-1.79367e-05,6.42735e-15,39,0.10047,2.01886e-07,3
0.116287,-0.633713,0.866287,3,-0.000123352,3.04309e-13,39,0.116287,2.70455e-07,3
0.133023,-0.616977,0.883023,3,-7.18532e-05,1.0325e-13,39,0.133023,3.53904e-07,3
0.1367,-0.6133,0.8867,3,-0.000121612,2.95783e-13,39,0.1367,3.73739e-07,3
0.209832,-0.540168,0.959832,3,4.57601e-06,4.11641e-16,39,0.209832,8.80588e-07,3
0.259054,-0.490946,1.00905,3,2.02407e-05,8.18654e-15,39,0.259054,1.34218e-06,3
0.274456,-0.475544,1.02446,3,-7.72527e-05,1.19353e-13,39,0.274456,1.50652e-06,3
0.285655,-0.464345,1.03565,3,2.70618e-05,1.46397e-14,39,0.285655,1.63197e-06,3
0.29487,-0.45513,1.04487,3,-7.42177e-05,1.10158e-13,39,0.29487,1.73896e-06,3
0.309059,-0.440941,1.05906,3,-2.85643e-05,1.63113e-14,39,0.309059,1.91035e-06,3
0.340557,-0.409443,1.09056,3,-3.61814e-05,2.61748e-14,39,0.340557,2.31958e-06,3
0.356049,-0.393951,1.10605,3,-4.31524e-05,3.72355e-14,39,0.356049,2.53542e-06,3
0.361485,-0.388515,1.11149,3,-2.74152e-05,1.50247e-14,39,0.361485,2.61343e-06,3
0.390364,-0.359636,0.390364,4,-5.29552e-05,5.60779e-14,37,0.0153636,4.72083e-09,3
0.397225,-0.352775,0.397225,4,-4.31264e-05,3.71906e-14,37,0.0222253,9.87926e-09,3
0.399928,-0.350072,0.399928,4,-1.28326e-05,3.28637e-15,37,0.0249278,1.24279e-08,3
0.401539,-0.348461,0.401539,4,-4.56291e-05,4.16331e-14,37,0.0265394,1.40868e-08,3
0.406535,-0.343465,0.406535,4,-5.20584e-05,5.41944e-14,37,0.0315348,1.98889e-08,3
0.419642,-0.330358,0.419642,4,-3.19414e-05,2.03979e-14,37,0.0446419,3.9858e-08,3
0.426028,-0.323972,0.426028,4,-8.68672e-05,1.50911e-13,37,0.0510277,5.20765e-08,3
0.436745,-0.313255,0.436745,4,1.00949e-05,2.03097e-15,37,0.061745,7.62488e-08,3
0.455306,-0.294694,0.455306,4,-6.55645e-05,8.5967e-14,37,0.0803063,1.28982e-07,3
0.463409,-0.286591,0.463409,4,-4.77337e-05,4.55629e-14,37,0.0884092,1.56324e-07,3
0.483047,-0.266953,0.483047,4,-6.43095e-06,8.19986e-16,37,0.108047,2.33482e-07,3
0.497256,-0.252744,0.497256,4,1.90862e-05,7.27851e-15,37,0.122256,2.98928e-07,3
0.572951,-0.177049,0.572951,4,2.33106e-06,1.0152e-16,37,0.197951,7.83695e-07,3
0.637752,-0.112248,0.637752,4,-8.41677e-05,1.41677e-13,37,0.262752,1.38077e-06,3
0.711894,-0.0381057,0.711894,4,-9.54216e-06,1.8139e-15,37,0.336894,2.26996e-06,3
0.725372,-0.0246276,0.725372,4,-2.95345e-05,1.74386e-14,37,0.350372,2.45522e-06,3
0.746226,-0.00377398,0.746226,4,-5.48452e-06,5.94442e-16,37,0.371226,2.75618e-06,3
0.752269,0.00226924,0.752269,4,0.00233775,1.09302e-10,37,0.377269,2.84664e-06,3
0.763647,0.0136466,0.763647,4,0.0137151,3.76209e-09,37,0.388647,3.02092e-06,3
0.764274,0.0142742,0.764274,4,0.0143427,4.11428e-09,37,0.389274,3.03069e-06,3
0.775068,0.0250681,0.775068,4,0.0251366,1.2637e-08,37,0.400068,3.20109e-06,3
0.818684,0.0686844,0.818684,4,0.068753,9.45394e-08,37,0.443684,3.93712e-06,3
0.821677,0.0716766,0.821677,4,0.0717451,1.02947e-07,37,0.446677,3.9904e-06,3
0.828063,0.0780625,0.828063,4,0.0781311,1.22089e-07,37,0.453063,4.10531e-06,3
0.854999,0.104999,0.854999,4,0.105068,2.20786e-07,37,0.479999,4.60799e-06,3
0.892521,0.142521,0.892521,4,0.14259,4.06636e-07,37,0.517521,5.35656e-06,3
0.905459,0.155459,0.905459,4,0.155528,4.83778e-07,37,0.530459,5.62774e-06,3
0.942957,0.192957,0.942957,4,0.193025,7.45176e-07,37,0.567957,6.4515e-06,3
0.944229,0.194229,0.944229,4,0.194297,7.5503e-07,37,0.569229,6.48043e-06,3
